Movies,ReleaseYear,Genre,MovieType,Rating,StarsDirectors,Votes,RunTime(mins),Gross($)
Blood Red Sky,2021,"Action,Horror,Thriller",Regular,6.1,"Peri Baumeister, Carl Anton Koch, Alexander Scheer, Kais Setti, Peter Thorwarth",21062,121,75470000.0
Masters of the Universe: Revelation,2021,"Animation,Action,Adventure",Series,5.0,"Chris Wood, Sarah Michelle Gellar, Lena Headey, Mark Hamill",17870,25,75470000.0
The Walking Dead,2010,"Drama,Horror,Thriller",Series,8.2,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",885805,44,75470000.0
Rick and Morty,2013,"Animation,Adventure,Comedy",Series,9.2,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",414849,23,75470000.0
Army of Thieves,2021,"Action,Crime,Horror",Regular,7.6,"Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin, Matthias Schweighöfer",25858,50,75470000.0
Outer Banks,2020,"Action,Crime,Drama",Series,7.6,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss",25858,50,75470000.0
The Last Letter from Your Lover,2021,"Drama,Romance",Regular,6.8,"Shailene Woodley, Joe Alwyn, Wendy Nottingham, Felicity Jones, Augustine Frizzell",5283,110,75470000.0
Dexter,2006,"Crime,Drama,Mystery",Series,8.6,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",665387,53,75470000.0
Never Have I Ever,2020,Comedy,Series,7.9,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe",34530,30,75470000.0
Virgin River,2019,"Drama,Romance",Series,7.4,"Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Tim Matheson",27279,44,75470000.0
Gunpowder Milkshake,2021,"Action,Adventure,Thriller",Regular,6.0,"Karen Gillan, Lena Headey, Carla Gugino, Michelle Yeoh, Navot Papushado",17989,114,75470000.0
Lucifer,2016,"Crime,Drama,Fantasy",Series,8.1,"Tom Ellis, Lesley-Ann Brandt, Lauren German, D.B. Woodside",264222,42,75470000.0
Fear Street: 1994,2021,"Drama,Horror,Mystery",Regular,6.2,"Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr., Julia Rehwald, Leigh Janiak",50148,107,75470000.0
